year,init_month,sst_mdr,anomaly_mdr,sst_trop,anomaly_trop,gcm_id
2000,5,299.55618,-0.1608072916666666,298.1072,-0.092254638671875,4
2000,6,299.8262,-0.216705322265625,298.2123,-0.1363932291666666,4
2000,7,299.93365,-0.255584716796875,298.42654,-0.1147562662760416,4
2001,4,299.34918,-0.145599365234375,298.1225,0.050506591796875,4
2001,5,299.66113,-0.055877685546875,298.24258,0.0431315104166666,4
2001,6,300.0131,-0.029815673828125,298.38745,0.0387471516927083,4
2001,7,300.1177,-0.071533203125,298.6008,0.05950927734375,4
2002,4,299.50284,0.0080464680989583,298.23605,0.1640625,4
2002,5,299.61862,-0.0983784993489583,298.37106,0.1715901692708333,4
2002,6,299.83542,-0.207489013671875,298.48535,0.1366678873697916,4
2002,7,299.8054,-0.38385009765625,298.6591,0.1178181966145833,4
2003,4,299.61758,0.122802734375,298.1145,0.042510986328125,4
2003,5,299.8181,0.1011149088541666,298.19406,-0.005401611328125,4
2003,6,300.1019,0.058990478515625,298.42032,0.0716451009114583,4
